                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5089,                 1.7474,                 1.7782,                0.76518,                0.65517,                0.71605,                 0.2918,                 2.1914,                 5.8518,                 3.1849,                0.08218,                0.00018,                0.00018
                      2,                 1.4796,                 1.4331,                 1.6819,                 0.7397,                0.75862,                0.74893,                0.36869,                 2.2682,                 1.4476,                 3.6128,               0.063363,             0.00036267,             0.00036267
                      3,                 1.4682,                 1.4157,                 1.6948,                0.66961,                0.90873,                 0.8149,                0.32902,                 1.9092,                 1.5279,                 2.9582,               0.044538,             0.00053782,             0.00053782
                      4,                 1.4645,                  1.459,                 1.7285,                0.84611,                 0.9482,                0.93398,                  0.496,                 1.7099,                 2.1397,                 2.2255,               0.025705,             0.00070545,             0.00070545
                      5,                 1.5347,                 1.4041,                 1.7472,                0.68212,                0.89655,                0.89134,                0.43281,                 1.8689,                 4.8741,                 2.7071,              0.0068656,             0.00086555,             0.00086555
                      6,                 1.4467,                 1.4376,                 1.6965,                 0.7381,                0.89655,                0.85933,                0.40989,                 1.7762,                 2.7782,                 2.4667,               0.000901,               0.000901,               0.000901
                      7,                 1.5457,                 1.4871,                 1.7548,                0.92512,                0.96552,                0.97752,                0.46777,                 1.6857,                 1.1523,                  2.211,               0.000901,               0.000901,               0.000901
                      8,                 1.5069,                 1.3866,                 1.7139,                0.83043,                0.84467,                0.88857,                0.41427,                 1.7043,                 2.3438,                 2.0966,              0.0008812,              0.0008812,              0.0008812
                      9,                 1.4565,                  1.354,                 1.6777,                0.58286,                0.77113,                0.65505,                0.26102,                 2.0876,                 2.1441,                 2.8265,              0.0008614,              0.0008614,              0.0008614
                     10,                 1.3678,                 1.2578,                 1.6224,                0.84018,                0.86207,                0.90982,                0.44526,                 1.8409,                 1.5736,                 2.4595,              0.0008416,              0.0008416,              0.0008416
                     11,                 1.3828,                 1.2455,                  1.627,                0.87535,                 0.7931,                0.89719,                0.47768,                 1.7143,                 1.3816,                 2.3603,              0.0008218,              0.0008218,              0.0008218
                     12,                 1.4377,                 1.2693,                 1.6546,                0.74368,                 0.7931,                0.83406,                0.38531,                 1.8359,                 1.3533,                  2.339,               0.000802,               0.000802,               0.000802
                     13,                 1.3989,                 1.1996,                 1.6103,                0.93084,                0.92831,                 0.9657,                0.56347,                 1.5217,                 0.9223,                 1.9578,              0.0007822,              0.0007822,              0.0007822
                     14,                 1.4561,                 1.2397,                 1.6082,                0.84304,                      1,                0.97465,                0.56121,                 1.5203,                 1.0341,                 1.8912,              0.0007624,              0.0007624,              0.0007624
                     15,                 1.4136,                 1.2196,                 1.6128,                0.96534,                0.96048,                0.98467,                0.56998,                 1.5138,                0.99146,                 1.9418,              0.0007426,              0.0007426,              0.0007426
                     16,                 1.3836,                 1.2131,                 1.6014,                0.92922,                0.90562,                0.94868,                0.57725,                 1.5641,                 1.1616,                 2.0243,              0.0007228,              0.0007228,              0.0007228
                     17,                 1.3639,                 1.1977,                 1.6054,                0.90365,                0.93103,                0.93992,                0.55989,                 1.5187,                 1.1527,                 2.0048,               0.000703,               0.000703,               0.000703
                     18,                 1.3913,                 1.1959,                 1.6189,                0.84249,                 0.9224,                0.95079,                0.53333,                 1.5239,                 1.1336,                 1.8624,              0.0006832,              0.0006832,              0.0006832
                     19,                   1.37,                 1.1878,                 1.6043,                0.96569,                0.89655,                0.95043,                0.59782,                 1.3449,                 1.1439,                 1.7345,              0.0006634,              0.0006634,              0.0006634
                     20,                 1.3672,                 1.1787,                 1.6129,                0.86506,                0.89655,                0.91228,                0.47594,                 1.8271,                 1.2334,                 2.4917,              0.0006436,              0.0006436,              0.0006436
                     21,                 1.3232,                 1.1295,                   1.59,                0.96136,                0.85809,                0.96579,                0.51402,                 1.6667,                 1.1374,                 2.1615,              0.0006238,              0.0006238,              0.0006238
                     22,                 1.2787,                 1.0954,                 1.5535,                 0.8307,                0.93103,                0.95206,                0.53031,                 1.6816,                 1.1086,                 2.1978,               0.000604,               0.000604,               0.000604
                     23,                 1.3299,                 1.1585,                 1.5699,                0.89627,                0.96552,                0.96974,                0.53791,                 1.4852,                0.87633,                 2.0148,              0.0005842,              0.0005842,              0.0005842
                     24,                  1.272,                  1.113,                 1.5437,                0.96619,                0.98585,                0.99167,                 0.5918,                 1.4113,                0.71421,                 1.8445,              0.0005644,              0.0005644,              0.0005644
                     25,                 1.3158,                  1.114,                 1.5482,                0.92158,                0.96552,                0.95336,                0.56037,                 1.4489,                0.82794,                 1.8697,              0.0005446,              0.0005446,              0.0005446
                     26,                 1.2091,                 1.0857,                 1.5185,                0.93172,                0.93103,                0.97811,                0.53348,                   1.57,                0.99792,                 2.0611,              0.0005248,              0.0005248,              0.0005248
                     27,                 1.2691,                 1.0807,                 1.5324,                0.96603,                      1,                0.98467,                0.49496,                 1.6703,                 1.0486,                 2.1176,               0.000505,               0.000505,               0.000505
                     28,                 1.2589,                 1.0577,                 1.5322,                0.95208,                0.96552,                0.99219,                0.55977,                 1.4198,                0.95642,                 1.8734,              0.0004852,              0.0004852,              0.0004852
                     29,                 1.2982,                 1.1048,                 1.5335,                 0.8786,                0.99832,                0.97822,                0.58141,                 1.3943,                0.96971,                 1.7572,              0.0004654,              0.0004654,              0.0004654
                     30,                 1.2282,                 1.0177,                  1.496,                0.87828,                0.99536,                 0.9867,                0.56626,                 1.3907,                0.90791,                  1.802,              0.0004456,              0.0004456,              0.0004456
                     31,                 1.2362,                 1.0412,                  1.485,                 0.9035,                      1,                0.98123,                0.58699,                 1.3217,                0.80683,                 1.8031,              0.0004258,              0.0004258,              0.0004258
                     32,                 1.1996,                 1.0062,                 1.4694,                0.92057,                0.93103,                0.96797,                0.58045,                 1.3369,                0.73988,                 1.7536,               0.000406,               0.000406,               0.000406
                     33,                 1.2319,                0.98838,                 1.4885,                0.87426,                0.95918,                0.96857,                0.60244,                 1.3616,                0.72689,                 1.8001,              0.0003862,              0.0003862,              0.0003862
                     34,                 1.1875,                0.97496,                  1.475,                0.96291,                 0.8952,                0.97298,                 0.5915,                 1.4829,                0.73737,                 1.9731,              0.0003664,              0.0003664,              0.0003664
                     35,                 1.2152,                 1.0029,                 1.4807,                0.90303,                0.96552,                0.97311,                0.59495,                 1.4897,                0.73566,                 1.9718,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.1686,                0.96347,                 1.4672,                0.90231,                0.95572,                 0.9527,                0.62802,                 1.3855,                0.70786,                 1.8436,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.1377,                0.94288,                 1.4367,                0.90255,                0.95831,                0.95756,                0.67171,                 1.2387,                0.66832,                 1.6281,               0.000307,               0.000307,               0.000307
                     38,                  1.159,                0.97753,                 1.4359,                0.93753,                0.93103,                0.95809,                0.69643,                 1.2119,                0.64316,                 1.5885,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.1292,                0.97808,                 1.4596,                0.92956,                0.91044,                0.95926,                0.67999,                 1.2748,                0.67565,                 1.6449,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.0849,                0.89482,                 1.4288,                      1,                0.91979,                0.96122,                0.64329,                 1.3668,                0.68423,                 1.7534,              0.0002476,              0.0002476,              0.0002476
                     41,                0.81288,                0.74758,                 1.3039,                0.96264,                0.93103,                0.95926,                0.61379,                 1.3861,                0.72963,                 1.7316,              0.0002278,              0.0002278,              0.0002278
                     42,                0.86853,                0.69552,                 1.2979,                0.92918,                0.90514,                  0.955,                0.62549,                 1.3147,                0.73973,                 1.6778,               0.000208,               0.000208,               0.000208
                     43,                0.89499,                0.66075,                 1.3417,                0.96203,                0.93103,                0.96262,                0.64345,                 1.2499,                0.74101,                 1.6364,              0.0001882,              0.0001882,              0.0001882
                     44,                0.87584,                0.65251,                 1.3446,                0.87337,                0.96552,                0.95606,                0.66802,                 1.1625,                0.73049,                 1.6079,              0.0001684,              0.0001684,              0.0001684
                     45,                0.84091,                0.60847,                 1.3346,                 0.9396,                0.93103,                 0.9749,                0.65885,                 1.1842,                0.76756,                 1.6328,              0.0001486,              0.0001486,              0.0001486
                     46,                0.83839,                0.57971,                 1.2925,                0.98316,                0.93103,                0.96284,                0.66887,                  1.219,                0.77782,                 1.6684,              0.0001288,              0.0001288,              0.0001288
                     47,                0.81147,                0.55861,                 1.2743,                0.91254,                0.96552,                0.96131,                0.64442,                 1.2573,                0.75752,                 1.6946,               0.000109,               0.000109,               0.000109
                     48,                0.78353,                0.52801,                 1.2612,                0.94891,                0.93103,                0.96232,                0.63169,                 1.2988,                0.74315,                 1.7259,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                0.83732,                0.54042,                 1.2961,                0.93885,                0.93103,                0.95373,                0.61198,                  1.292,                0.74398,                 1.7327,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                0.81317,                0.53768,                 1.2722,                0.94869,                0.93103,                0.95447,                0.62935,                 1.2772,                0.71178,                 1.7308,               4.96e-05,               4.96e-05,               4.96e-05
